time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-2.7925107190969645e-06,9.47211322360921e-09,10.000475804276434,6.283174218948954,0.0009876888016444596,0.0,-0.0001727935034200664,1.01267829497336e-07,0.01585984367432232,-0.0008694019051384983,0.009752787991619102,0.0,409.7673211086293,410.63317459723703,408.50826159985746,408.43075064265645
0.12000000000000001,-3.8425856135034006e-05,4.179571365007861e-06,10.005987846975533,0.0008712330699536253,0.001708307586008928,0.0,-0.0010999676529688809,0.0002487094185079196,0.16786383681378386,-0.012726666600509601,0.004346366091359797,0.0,453.23922943258833,452.8044723112425,453.6588047391468,452.70597018314487
0.18,-0.00015540874089451927,5.3095176693601576e-05,10.025588362743784,0.003209049580011225,0.0024663250602845466,0.0,-0.0029131558482106148,0.0016711599860637283,0.4854054910425939,0.005402357624419141,-0.00467073288259213,0.0,501.70984137018263,501.05481231026306,500.4700891172588,501.787739297034
0.23999999999999996,-0.0004091204889817171,0.00024133584654672778,10.060334826056526,0.005991933862296683,0.007854690426816191,0.0,-0.006134252099040918,0.004944172435696723,0.6727141136470292,-0.013016444643922404,0.020238176673025833,0.0,463.25319461054335,465.2073841770384,464.59921085000155,463.15307183854725
0.3,-0.0009313368449798716,0.000657689080682219,10.101399849861153,0.009171855581344701,0.010545338552362615,0.0,-0.011530002191954975,0.009203738111364037,0.6961016773041232,0.007618162780383197,0.005673893670656172,0.0,412.7066105136139,411.41923291366936,411.75764935774754,413.5789001332874
0.36000000000000004,-0.0018727461904218447,0.0014684827977228948,10.148905627854882,0.01877159075426338,0.011297316268992219,0.0,-0.01992895655772504,0.018969722035499,0.8872798000936042,-0.026726298585559152,0.011603097691528508,0.0,465.16491318324614,465.6288141518109,466.9149906654216,464.2282478877514
0.4200000000000001,-0.0033487634821346,0.0030563338439938475,10.208663452981051,0.017956888619633737,0.013034419927967278,0.0,-0.029464871778811644,0.0338476426032023,1.1044625522440368,-0.01812305967833012,0.021643629302238936,0.0,473.8749142027792,474.6458912298484,472.3910033431929,473.0538261322872
0.48000000000000015,-0.005415485641292437,0.005486819310010713,10.279778645949241,0.016866131730539635,0.014326091389840201,0.0,-0.03956769464198686,0.04704451707137026,1.265878718035731,-0.01830560081429654,0.021222417084918066,0.0,457.62074255707404,457.5872066006287,456.90730395381945,456.89282446611963
0.5400000000000001,-0.00807003866117724,0.008635548860359008,10.356873772877886,0.019100971754514084,0.017260559607039205,0.0,-0.04920352406642402,0.058139446577079534,1.3039070707393698,-0.03954121425125316,0.005852867549966966,0.0,419.30216470634076,417.96488468706457,419.2154569289737,417.36614432979553
0.6000000000000002,-0.011462484693226027,0.012591249882567997,10.442324087736514,0.017550601649406694,0.01934368399215103,0.0,-0.06414785340004406,0.07351034615332816,1.5441418050906728,-0.030736759851711804,-0.009813383351228076,0.0,481.7948737556014,480.60905907818983,480.61309311859645,481.2793631760976
0.6600000000000003,-0.015754639288144863,0.017402297079813986,10.540347581173997,0.016836259575961243,0.018791992678377056,0.0,-0.0788551689363475,0.08676015298556124,1.7230577144438974,-0.020231156852205796,-0.008585745648337256,0.0,463.4298925841624,463.52649617563634,463.4006682382093,464.2255297821961
0.7200000000000003,-0.02085360060774585,0.022934336706338047,10.645726890357999,0.01561275496046921,0.018277894693526697,0.0,-0.09105859765764016,0.0975221585525687,1.789486441535856,-0.021964110888577467,-0.008534501637464728,0.0,429.87424020359265,429.878699193726,428.4644926380766,428.31714044737544
0.7800000000000004,-0.02666720767592131,0.02908127633880469,10.75466455032991,0.014325895673184874,0.017884817753485827,0.0,-0.10268713435372478,0.10725537271139937,1.8416881702326826,-0.025435482626271336,-0.005769747681714149,0.0,423.39714271926806,423.6350356431533,426.0671411543605,425.77019830526933
0.8400000000000004,-0.033287924813648694,0.03589353261653583,10.873045004173292,0.01706787693686085,0.018563808020424233,0.0,-0.11806867927573751,0.12013150711496774,2.103874798513897,-0.003972494466798306,0.004186516669161117,0.0,489.0893244681352,489.83028385779204,487.4853261563461,489.08643650796455
0.9000000000000005,-0.04080053854791154,0.0435296363907952,11.004609881636483,0.02605514002780307,0.018911126846729687,0.0,-0.1323824694578782,0.13538219262630535,2.2812612913138897,0.02812187495991813,0.006588673745568343,0.0,464.31197884716227,464.50029778459174,464.47308682746086,466.98316451697167
0.9600000000000005,-0.049122092029314925,0.052159643982178205,11.143030039827098,0.027899542831917756,0.023457572747565436,0.0,-0.1454116921458833,0.15246159430798398,2.332624655981409,0.022417194156590377,0.027739825593872443,0.0,425.74229783749394,427.5480495742302,426.51804467060686,426.0307484623628
1.0200000000000005,-0.058403239085113634,0.06196361592409279,11.288649409651558,0.029233390482923838,0.025586770035516793,0.0,-0.16418841494784117,0.17448004850010743,2.5209451174511295,0.02153034468048022,0.03410389844525433,0.0,467.8648845114411,468.3603269621131,470.5752484776701,470.50658571217497
1.0800000000000005,-0.06873255781726696,0.07297162056890731,11.44048561000105,0.030970575376167098,0.028550582639067734,0.0,-0.18039892776453864,0.19261550545492284,2.540203288557682,0.012921918707743542,0.022342040909993127,0.0,417.7716459885515,416.7452139730691,417.18871465486745,416.43637814006615
1.1400000000000006,-0.08034866095613097,0.08535317954192079,11.600927515922786,0.03754421780393713,0.04125805330304999,0.0,-0.2083499186614763,0.22088196385763417,2.807157133257159,0.038127138774626146,0.05809419912866977,0.0,491.4481355535389,494.0913931411845,492.5215266060098,494.3821210865093
